"lecture";"events";"n"
"1b7fe71021704354800039611a002501/";"load_video";3726
"1b7fe71021704354800039611a002501/";"play_video";9932
"27617d1d1f294ddb9608b0dd56a3510e/";"load_video";4599
"27617d1d1f294ddb9608b0dd56a3510e/";"play_video";14927
"82b9471b922c4cba9f25568354bb6793/";"load_video";539
"82b9471b922c4cba9f25568354bb6793/";"play_video";103
"85a895dc0ed04f699b3ff05194e99a7d/";"load_video";1445
"85a895dc0ed04f699b3ff05194e99a7d/";"play_video";3440
"87b72e8ebcd84a86836bc717187dabe6/";"load_video";3693
"87b72e8ebcd84a86836bc717187dabe6/";"play_video";7458
"9185492b92034f18a3ea8ae864b64103/";"load_video";1300
"9185492b92034f18a3ea8ae864b64103/";"play_video";2541
"a42ddcf32e674717b38c22e7eccccd50/";"load_video";1361
"a42ddcf32e674717b38c22e7eccccd50/";"play_video";3243
"bbba55922739467296632693fcf15cb4/";"load_video";4099
"bbba55922739467296632693fcf15cb4/";"play_video";13934
"e14b61c5bb6848128eb3cd7d7c6ab781/";"load_video";1969
"e14b61c5bb6848128eb3cd7d7c6ab781/";"play_video";3849
"e9ff7d309f544f5a852f801e80bd6226/";"load_video";1786
"e9ff7d309f544f5a852f801e80bd6226/";"play_video";4110
"ff89241358514a01b2a23b78d3ac0f98/";"load_video";1631
"ff89241358514a01b2a23b78d3ac0f98/";"play_video";3634
"ffa18241c8274e32a1e8a4a7a7f34c7e/";"load_video";3548
"ffa18241c8274e32a1e8a4a7a7f34c7e/";"play_video";11072
