"";"lecture";"problem_check"
"1";"09baac939163463e8a51b17249cf3957/";3
"2";"14d28e193aa54a8dacd396b94045f05b/";166
"3";"17f34919487c41eda5c1ee54a97c04c4/";7
"4";"316f4690051548c483aabd904effe80c/";3
"5";"47ea6bbc78e143d1995cafacf1ef4217/";1150
"6";"63df123193a147c7b273d7557f0f1367/";4
"7";"84da71363b2e4dbfa21b4c683328fce9/";1082
"8";"88c6fd8d4eb24aa8a993f36f328605be/";1126
"9";"c2a0f2eda79f408ca79a1d6230cdb4a8/";4
"10";"c88bb98653d743939b5f075f8642d663/";875
"11";"cf2804411fed49cdb4b9459dc4846e46/";631
