"";"ID";"n"
"1";"383730";5752
"2";"352153";4112
"3";"347024";3592
"4";"397053";3504
"5";"223541";3482
"6";"397991";2813
"7";"317833";2576
"8";"370003";2359
"9";"301462";2306
"10";"364506";2141
"11";"352605";2127
"12";"408423";1776
"13";"137797";1764
"14";"382000";1741
"15";"414186";1494
"16";"95507";1471
"17";"408426";1419
"18";"408475";1374
"19";"368377";1286
"20";"345210";1275
"21";"409783";1248
"22";"315123";1242
"23";"393674";1212
"24";"166859";1143
"25";"390709";1143
"26";"349400";1132
"27";"377568";1130
"28";"348622";1124
"29";"316996";1119
"30";"383398";1118
"31";"350967";1085
"32";"347308";1071
"33";"383237";1061
"34";"233352";1034
"35";"314752";1030
"36";"346735";1030
"37";"338914";1025
"38";"395908";1025
"39";"344331";1020
"40";"168745";996
"41";"348781";995
"42";"395129";994
"43";"275376";988
"44";"342078";986
"45";"349305";977
"46";"372744";977
"47";"387484";970
"48";"115462";953
"49";"383724";939
"50";"352207";938
"51";"273456";932
"52";"218573";927
"53";"216146";923
"54";"123981";920
"55";"375865";915
"56";"358534";911
"57";"359471";906
"58";"398838";906
"59";"375443";903
"60";"400028";902
"61";"314690";901
"62";"349527";895
"63";"6152";889
"64";"217025";874
"65";"406068";861
"66";"383726";855
"67";"393412";853
"68";"327720";852
"69";"95681";829
"70";"394261";820
"71";"358844";817
"72";"427033";812
"73";"368047";809
"74";"349861";806
"75";"400033";806
"76";"315017";802
"77";"342180";798
"78";"96960";788
"79";"376893";785
"80";"351997";783
"81";"339732";779
"82";"202983";778
"83";"367277";771
"84";"413647";768
"85";"370721";767
"86";"306008";766
"87";"89665";762
"88";"330154";761
"89";"367148";741
"90";"392866";730
"91";"380366";728
"92";"327776";725
"93";"114255";723
"94";"219566";723
"95";"74624";721
"96";"386042";713
"97";"343988";706
"98";"319098";705
"99";"118496";702
"100";"390719";697
"101";"393208";697
"102";"331510";688
"103";"347721";688
"104";"150798";685
"105";"353497";681
"106";"114394";680
"107";"408972";678
"108";"338748";675
"109";"371261";673
"110";"365624";670
"111";"223563";668
"112";"303878";667
"113";"410794";665
"114";"190063";660
"115";"326534";659
"116";"123812";657
"117";"213668";652
"118";"74973";651
"119";"171366";647
"120";"378597";641
"121";"268396";640
"122";"393939";640
"123";"52778";637
"124";"344260";619
"125";"352995";610
"126";"384084";587
"127";"326438";582
"128";"159048";577
"129";"400820";574
"130";"245518";563
"131";"333276";563
"132";"382576";556
"133";"97878";555
"134";"352783";551
"135";"183358";545
"136";"382960";545
"137";"351527";543
"138";"54261";542
"139";"125950";538
"140";"345888";536
"141";"328854";528
"142";"343644";528
"143";"162478";526
"144";"378542";524
"145";"386744";522
"146";"434426";522
"147";"383709";516
"148";"369124";508
"149";"395845";504
"150";"405955";502
"151";"335070";494
"152";"179460";490
"153";"346725";486
"154";"341406";481
"155";"343609";480
"156";"386490";478
"157";"326912";477
"158";"218977";476
"159";"350993";474
"160";"384128";473
"161";"417195";473
"162";"368400";468
"163";"348704";467
"164";"331691";463
"165";"94200";462
"166";"383721";461
"167";"320323";460
"168";"205044";459
"169";"367819";457
"170";"18193";451
"171";"181034";448
"172";"352374";448
"173";"398263";448
"174";"334514";446
"175";"304592";445
"176";"175135";442
"177";"382069";442
"178";"373777";439
"179";"357761";438
"180";"17287";437
"181";"295530";436
"182";"318830";436
"183";"385955";433
"184";"410754";432
"185";"353081";430
"186";"400455";429
"187";"245231";426
"188";"341802";426
"189";"351201";425
"190";"354426";425
"191";"387830";422
"192";"320347";421
"193";"352337";418
"194";"343316";417
"195";"163555";411
"196";"357830";408
"197";"395848";408
"198";"323481";406
"199";"357536";406
"200";"345954";405
"201";"383718";402
"202";"358871";401
"203";"384371";401
"204";"269358";400
"205";"345655";397
"206";"349626";397
"207";"210426";396
"208";"404265";394
"209";"199560";391
"210";"161049";390
"211";"228203";390
"212";"237504";390
"213";"243190";390
"214";"103771";389
"215";"161616";389
"216";"345293";386
"217";"207881";383
"218";"385814";383
"219";"348937";382
"220";"352065";382
"221";"370753";382
"222";"401389";382
"223";"27963";381
"224";"394622";379
"225";"327782";378
"226";"405486";378
"227";"345189";377
"228";"386010";375
"229";"318221";374
"230";"291604";373
"231";"367212";369
"232";"400698";369
"233";"95249";369
"234";"340114";366
"235";"371518";366
"236";"370742";363
"237";"320669";361
"238";"253440";360
"239";"340792";360
"240";"234610";358
"241";"343978";358
"242";"98563";355
"243";"436974";353
"244";"384532";352
"245";"377284";351
"246";"338224";350
"247";"338395";348
"248";"406493";346
"249";"343834";344
"250";"395234";343
"251";"346277";342
"252";"383717";342
"253";"165013";337
"254";"382848";336
"255";"28327";335
"256";"192043";330
"257";"30146";330
"258";"171432";329
"259";"239790";329
"260";"383716";329
"261";"352084";328
"262";"150611";325
"263";"24003";325
"264";"265797";325
"265";"347437";325
"266";"376905";324
"267";"359062";320
"268";"365696";318
"269";"358345";316
"270";"399587";314
"271";"113883";308
"272";"301557";308
"273";"335250";308
"274";"352646";307
"275";"112945";306
"276";"351931";306
"277";"42290";305
"278";"81303";305
"279";"11857";304
"280";"251237";303
"281";"323131";303
"282";"384093";303
"283";"337203";302
"284";"320148";300
"285";"346493";298
"286";"346608";295
"287";"395059";295
"288";"268213";294
"289";"402080";294
"290";"10861";292
"291";"95601";292
"292";"332389";291
"293";"316421";290
"294";"320113";290
"295";"390253";290
"296";"279730";288
"297";"227384";286
"298";"318261";286
"299";"323281";286
"300";"289486";285
"301";"135053";284
"302";"317867";283
"303";"337566";282
"304";"238423";281
"305";"349007";281
"306";"361179";281
"307";"180359";280
"308";"392998";278
"309";"323030";277
"310";"349693";277
"311";"401882";275
"312";"417681";275
"313";"280071";274
"314";"344795";274
"315";"241290";273
"316";"185379";269
"317";"346423";269
"318";"364181";269
"319";"356028";268
"320";"112500";267
"321";"116647";267
"322";"320827";266
"323";"289461";264
"324";"299094";264
"325";"388780";264
"326";"367572";263
"327";"165412";259
"328";"59816";259
"329";"128699";258
"330";"394390";258
"331";"87900";258
"332";"102994";257
"333";"436022";257
"334";"383713";256
"335";"390760";256
"336";"338714";255
"337";"351222";255
"338";"367825";255
"339";"425258";255
"340";"127295";254
"341";"366445";251
"342";"265709";250
"343";"404643";250
"344";"358526";248
"345";"352392";247
"346";"414504";247
"347";"138041";246
"348";"387565";244
"349";"409454";243
"350";"345075";242
"351";"341067";239
"352";"347119";239
"353";"348584";238
"354";"337754";236
"355";"399512";236
"356";"228549";232
"357";"380441";232
"358";"326775";230
"359";"356228";230
"360";"404781";230
"361";"28345";229
"362";"412001";229
"363";"37278";227
"364";"395169";227
"365";"392214";226
"366";"340964";224
"367";"399700";223
"368";"379440";222
"369";"167022";219
"370";"326520";218
"371";"397173";218
"372";"397739";217
"373";"18417";216
"374";"347930";214
"375";"319685";213
"376";"320440";213
"377";"336719";212
"378";"197370";210
"379";"365960";210
"380";"379839";209
"381";"99316";209
"382";"414235";208
"383";"210183";207
"384";"324147";206
"385";"334832";206
"386";"380566";203
"387";"326613";202
"388";"394320";202
"389";"359894";199
"390";"201223";196
"391";"269158";194
"392";"394760";194
"393";"47311";194
"394";"351935";192
"395";"349244";190
"396";"250007";188
"397";"393535";188
"398";"342019";187
"399";"357957";186
"400";"365425";186
"401";"364361";185
"402";"169323";183
"403";"249346";182
"404";"331041";182
"405";"362719";182
"406";"408193";182
"407";"123127";181
"408";"307225";181
"409";"360954";181
"410";"345957";179
"411";"350558";179
